,UNNAMED: 0,URL,REVIEW_TITLE,RATINGS,REVIEW,VERIFIED,DATE_X,USER_NAME,USER_ID,MAX_REVIEWS_DAY,BY_LINK,HELPFUL_VOTES,PRODUCT,PRODUCT_LINK,REVIEW_SENTIMENT,TOTAL_REVIEWS,AVERAGE_RATING,RATING_DEVIATION,REVIEW_LENGTH,TITLE_LENGTH,TOTAL_USER_REVIEWS,DATETIME,REVIEW_DATE_DIFF
11,11,https://www.amazon.co.uk/gp/review/R1MEHKK4YS7G64/,Colour match,5,"Love these, can match to colours in your pic.",1,2017-03-09,Lesley B,AG57ELELG6RNTZWK7RDHDO53RE4A,9,https://www.amazon.co.uk/gp/profile/amzn1.account.AG57ELELG6RNTZWK7RDHDO53RE4A/ref=cm_cr_srp_d_pdp?ie=UTF8,0,Red-A3 Rainbow Colour Range Picture/Photo/Poster frame with a High Clarity Styrene Shatterproof Perspex Sheet & an MDF backing board - rcrp-red-a3,https://www.amazon.co.uk/Rainbow-Picture-Clarity-Styrene-Shatterproof/dp/B019XL4KIY/ref=cm_cr_srp_d_product_top?ie=UTF8,0.5,1.0,5.0,0.0,45,12,18,2017-03-09,1184
12,12,https://www.amazon.co.uk/gp/review/R28CSZF8LIG2RZ/,Effective cover with security feature,5,"Chose this cover for my daughter's bike because it can be padlocked with the bike - pity my daughter did not pay attention to this feature as she had the cover stolen from her bike! Pity, as it was an effective cover!",1,2017-03-09,Lesley B,AG57ELELG6RNTZWK7RDHDO53RE4A,9,https://www.amazon.co.uk/gp/profile/amzn1.account.AG57ELELG6RNTZWK7RDHDO53RE4A/ref=cm_cr_srp_d_pdp?ie=UTF8,0,Waterproof Bicycle Cover - Superior Oxford Fabric 150 Denier - Black,https://www.amazon.co.uk/Waterproof-Bicycle-Cover-Superior-Oxford/dp/B00VS90MEG/ref=cm_cr_srp_d_product_top?ie=UTF8,0.175,1.0,5.0,0.0,217,37,18,2017-03-09,1184
13,13,https://www.amazon.co.uk/gp/review/R16ZKX5AJKFU7U/,Very handy,5,"Neat little USB, protective case makes it easy to carry around with you.",1,2017-03-09,Lesley B,AG57ELELG6RNTZWK7RDHDO53RE4A,9,https://www.amazon.co.uk/gp/profile/amzn1.account.AG57ELELG6RNTZWK7RDHDO53RE4A/ref=cm_cr_srp_d_pdp?ie=UTF8,0,Ricco 8 GB Aluminium Metal Bullet USB 2.0 High Speed Flash Memory Drive with Water/Shock Proof for Windows and Mac OS - Red,https://www.amazon.co.uk/Ricco-Aluminium-Bullet-Memory-Windows/dp/B004ZPX9M2/ref=cm_cr_srp_d_product_top?ie=UTF8,0.122917,1.0,5.0,0.0,72,10,18,2017-03-09,1184
14,14,https://www.amazon.co.uk/gp/review/R3JFYPFLU9D355/,Very unusual frame for a special photo,5,"Bought this for my daughter, she loved it.",0,2017-03-09,Lesley B,AG57ELELG6RNTZWK7RDHDO53RE4A,9,https://www.amazon.co.uk/gp/profile/amzn1.account.AG57ELELG6RNTZWK7RDHDO53RE4A/ref=cm_cr_srp_d_pdp?ie=UTF8,0,"Innova Editions, Classic Picture/Photo frame, 15x20cm/8x6, Hereford Black Inlay",https://www.amazon.co.uk/Innova-Editions-Classic-Picture-Hereford/dp/B00PH1BHBS/ref=cm_cr_srp_d_product_top?ie=UTF8,0.7,1.0,5.0,0.0,42,38,18,2017-03-09,1184
15,15,https://www.amazon.co.uk/gp/review/R39D9IDYEVSMVF/,Highly recommended,5,"Bought this for my daughter, she loves it!",1,2017-03-09,Lesley B,AG57ELELG6RNTZWK7RDHDO53RE4A,9,https://www.amazon.co.uk/gp/profile/amzn1.account.AG57ELELG6RNTZWK7RDHDO53RE4A/ref=cm_cr_srp_d_pdp?ie=UTF8,0,Black bazar,https://www.amazon.co.uk/Black-bazar-Alain-Mabanckou/dp/275781639X/ref=cm_cr_srp_d_product_top?ie=UTF8,0.0,1.0,5.0,0.0,42,18,18,2017-03-09,1184
16,16,https://www.amazon.co.uk/gp/review/R3FLVP3IH3JVAQ/,No bubbles!,5,Very easy to fit.,1,2017-03-09,Lesley B,AG57ELELG6RNTZWK7RDHDO53RE4A,9,https://www.amazon.co.uk/gp/profile/amzn1.account.AG57ELELG6RNTZWK7RDHDO53RE4A/ref=cm_cr_srp_d_pdp?ie=UTF8,1,"[2 Pack] Moto E 3rd Screen Protector, SPARIN Tempered Glass Screen Protector For Motorola Moto E3, [Bubble Easy installation] [Lifetime Warranty] Motorola Moto E3 Glass Screen Protector",https://www.amazon.co.uk/Moto-Protector-Tempered-Motorola-installation-Clear/dp/B01LEQM1UK/ref=cm_cr_srp_d_product_top?ie=UTF8,0.481667,1.0,5.0,0.0,17,11,18,2017-03-09,1184
17,17,https://www.amazon.co.uk/gp/review/R2JNGPY0DYX857/,What it says on the can!,4,"My previous pourer was glass and got broken so this should be a more durable replacement! Looks good and works well, also quite a bit cheaper than a similar can I saw in a local shop the other day. For me this is more of a pourer than a drizzler though, so you have to be more careful if you only want a drizzle!",1,2016-10-16,Lesley B,AG57ELELG6RNTZWK7RDHDO53RE4A,9,https://www.amazon.co.uk/gp/profile/amzn1.account.AG57ELELG6RNTZWK7RDHDO53RE4A/ref=cm_cr_srp_d_pdp?ie=UTF8,0,"Argon Tableware Stainless Steel Olive Oil Bottle, Drizzle Can, Italian Bottle Design - 500ml (17oz)",https://www.amazon.co.uk/Argon-Tableware-Stainless-Drizzle-Italian/dp/B00LPLUEWW/ref=cm_cr_srp_d_product_top?ie=UTF8,0.139394,1.0,4.0,0.0,312,24,18,2016-10-16,1184
18,18,https://www.amazon.co.uk/gp/review/R2RPTOMMHZJOEB/,great mat,5,This is the second one I've ordered - my younger daughter was very pleased with hers and then my older daughter saw it and decided she'd like one too!,1,2015-07-29,Lesley B,AG57ELELG6RNTZWK7RDHDO53RE4A,9,https://www.amazon.co.uk/gp/profile/amzn1.account.AG57ELELG6RNTZWK7RDHDO53RE4A/ref=cm_cr_srp_d_pdp?ie=UTF8,0,Bodhivana Eco Friendly Extra Thick Yoga Mat; Exercise Mat 15mm x183x61cm; Thick Pilates Mat with Carry Strap; Thick Exercise Mat Non Slip NBR Material; FREE Flat Tummy Yoga Guide; 100% Money Back Guaranteed!,https://www.amazon.co.uk/Bodhivana-Friendly-Exercise-x183x61cm-Guaranteed/dp/B00MGTCVJQ/ref=cm_cr_srp_d_product_top?ie=UTF8,0.214583,1.0,5.0,0.0,150,9,18,2015-07-29,1184
19,19,https://www.amazon.co.uk/gp/review/R22EVPYO6ZS0FC/,You won't leave home without it!,5,"This is so small you can stick in your wallet which means you don't have to worry about whether you've got enough space in your bag, etc to take it with you - great idea!",1,2014-11-28,Lesley B,AG57ELELG6RNTZWK7RDHDO53RE4A,9,https://www.amazon.co.uk/gp/profile/amzn1.account.AG57ELELG6RNTZWK7RDHDO53RE4A/ref=cm_cr_srp_d_pdp?ie=UTF8,0,Nice & Cannes Popout Map (PopOut Maps),https://www.amazon.co.uk/Nice-Cannes-Popout-PopOut-Maps/dp/1845879260/ref=cm_cr_srp_d_product_top?ie=UTF8,0.25,1.0,5.0,0.0,170,32,18,2014-11-28,1184
20,20,https://www.amazon.co.uk/gp/review/R2VK02XFZFQRA0/,Brilliant!,5,Love these so much (we have two in different colours) as they are useful in so many different situations and also very different from other lamps I've seen.,1,2014-03-24,Lesley B,AG57ELELG6RNTZWK7RDHDO53RE4A,9,https://www.amazon.co.uk/gp/profile/amzn1.account.AG57ELELG6RNTZWK7RDHDO53RE4A/ref=cm_cr_srp_d_pdp?ie=UTF8,1,,0,0.171875,,,,156,10,18,2014-03-24,1184
21,21,https://www.amazon.co.uk/gp/review/RYNT60I07TJON/,Ideal,5,Got this as a gift for my 19 year-old daughter and she really loves it and wears it constantly. Most of the anklets with charms that I looked at were a bit childish which is why I went for this one.,1,2014-03-24,Lesley B,AG57ELELG6RNTZWK7RDHDO53RE4A,9,https://www.amazon.co.uk/gp/profile/amzn1.account.AG57ELELG6RNTZWK7RDHDO53RE4A/ref=cm_cr_srp_d_pdp?ie=UTF8,1,Sterling Silver Swirl Drop Charm Anklet of 23cm,https://www.amazon.co.uk/Sterling-Silver-Swirl-Charm-Anklet/dp/B00EU37S9Y/ref=cm_cr_srp_d_product_top?ie=UTF8,0.166667,1.0,5.0,0.0,198,5,18,2014-03-24,1184
22,22,https://www.amazon.co.uk/gp/review/RSR7FP4PAPL31/,Fantastic value,5,This is a brilliant little lamp for when you're working with your laptop - love it so much I've just ordered another two for my daughters.,1,2014-03-24,Lesley B,AG57ELELG6RNTZWK7RDHDO53RE4A,9,https://www.amazon.co.uk/gp/profile/amzn1.account.AG57ELELG6RNTZWK7RDHDO53RE4A/ref=cm_cr_srp_d_pdp?ie=UTF8,0,BestOfferBuy USB 13 LED Flexible Neck Table Desk Reading Lamp Light For PC Laptop,https://www.amazon.co.uk/BestOfferBuy-Flexible-Table-Reading-Laptop/dp/B00AAC7A3S/ref=cm_cr_srp_d_product_top?ie=UTF8,0.353125,1.0,5.0,0.0,138,15,18,2014-03-24,1184
23,23,https://www.amazon.co.uk/gp/review/R35P99YEZ45R0T/,Great in the shower,5,"I bought this speaker to use in the shower. It is a great size, fits easily on the small shelf in my shower. It has great sound and battery life. I am very pleased with it.",0,2017-05-04,Suzanne Ruiz,AHZI3QY65DLTDUDWWIPI4SQQBKVA,1,https://www.amazon.co.uk/gp/profile/amzn1.account.AHZI3QY65DLTDUDWWIPI4SQQBKVA/ref=cm_cr_srp_d_pdp?ie=UTF8,0,Portable Bluetooth Speaker Black&Yellow,https://www.amazon.co.uk/Portable-Bluetooth-Speaker-Black-Yellow/dp/B0716BG8Y7/ref=cm_cr_srp_d_product_top?ie=UTF8,0.472222,5.0,5.0,0.0,172,19,4,2017-05-04,34
24,24,https://www.amazon.co.uk/gp/review/R2LG6XAS1JJRYE/,"Comfortable, Amazing Sound, Noise Dampening",5,"These are, hands down, the best pair of in-ear headphones I've ever owned. Luckily, I read some of the reviews on here, so that I could realize the first fact I stated. You must use the rubber ear inserts that fit snugly in your ear. You'll get plenty of fine, clear tones in all the right range if you're wearing them properly.The sound is clear, rich and true, NOT scratchy or squeaky like many cheaper in-ear headphones. I'll leave these in a pocket or something and have my JVC earphones nearby, and they don't even compare to these. I immediately look for these headphones if I want to listen to something clearly. Furthermore, they block out sound almost as well as earplugs with how they fit on myself.Lastly, it seems to me that they are ergonomically designed to fit in the ear better. First: the rubber on the ear-insert is very pliable/soft. Second: the rubber ear-inserts take on a tilted oval shape because of the shape of the earphone speakers themselves. This makes them very comfortable to wear, even with the largest rubber ear-insert size (it comes with 3 sizes of rubber inserts/covers) that makes the best seal. Many, cheaper, in ear headphones are uncomfortable to wear and make your ears sore, but you can wear these all day without something stretching out your ear.",0,2017-04-27,Suzanne Ruiz,AHZI3QY65DLTDUDWWIPI4SQQBKVA,1,https://www.amazon.co.uk/gp/profile/amzn1.account.AHZI3QY65DLTDUDWWIPI4SQQBKVA/ref=cm_cr_srp_d_pdp?ie=UTF8,32,In Ear Earphones Black,https://www.amazon.co.uk/XuDirect-In-Ear-Earphones-Black-Green/dp/B07166Q1VW/ref=cm_cr_srp_d_product_top?ie=UTF8,0.325006,115.0,5.0,0.0,1289,43,4,2017-04-27,34
25,25,https://www.amazon.co.uk/gp/review/R2L37I486G2TWU/,These headphones are the best!!,5,"These headphones are the best!!! For under �10, I can't believe how good these sound and the fit is so comfortable. These are perfect for running or working out or even casual listening, I love the fit and I have experienced no ear fatigue after wearing it for the whole day. I think the amazing ratings on Amazon for these headphones are completely justified.",0,2017-04-24,Suzanne Ruiz,AHZI3QY65DLTDUDWWIPI4SQQBKVA,1,https://www.amazon.co.uk/gp/profile/amzn1.account.AHZI3QY65DLTDUDWWIPI4SQQBKVA/ref=cm_cr_srp_d_pdp?ie=UTF8,0,Earbuds with Mic Black,https://www.amazon.co.uk/YOUSIPI-Earbuds-with-Mic-Black/dp/B06ZYTFR92/ref=cm_cr_srp_d_product_top?ie=UTF8,0.4846149999999999,16.0,5.0,0.0,360,31,4,2017-04-24,34
26,26,https://www.amazon.co.uk/gp/review/R326GXFB4LST5N/,Would buy again.,5,"These are the most comfortable earbuds I have ever tried, and the sound is really great. Would buy again.",0,2017-03-31,Suzanne Ruiz,AHZI3QY65DLTDUDWWIPI4SQQBKVA,1,https://www.amazon.co.uk/gp/profile/amzn1.account.AHZI3QY65DLTDUDWWIPI4SQQBKVA/ref=cm_cr_srp_d_pdp?ie=UTF8,0,"Earbuds, XuDirect SE570 Wired Earphones with Microphone Line Control In-ear Headphones Black",https://www.amazon.co.uk/Earbuds-XuDirect-Earphones-Microphone-Headphones-Black/dp/B01MRNJZUR/ref=cm_cr_srp_d_product_top?ie=UTF8,0.525,8.0,5.0,0.0,105,16,4,2017-03-31,34
27,27,https://www.amazon.co.uk/gp/review/R3DYPGQPM4YREY/,"Impressive, quality headphones!",5,"Impressive, quality headphones!",1,2017-07-02,Jennifer Cooper,AHJ4TATYP5OGXMMFDJ2XZSTKJYDQ,1,https://www.amazon.co.uk/gp/profile/amzn1.account.AHJ4TATYP5OGXMMFDJ2XZSTKJYDQ/ref=cm_cr_srp_d_pdp?ie=UTF8,0,Cospor Bluetooth Headphones Wireless Stereo Sport Earbuds Noise Cancelling Sweat-proof In Ear Headset ...,https://www.amazon.co.uk/Cospor-Bluetooth-Headphones-Cancelling-Sweat-proof/dp/B01N5P42ZU/ref=cm_cr_srp_d_product_top?ie=UTF8,1.0,12.0,5.0,0.0,31,31,3,2017-07-02,67
28,28,https://www.amazon.co.uk/gp/review/R116VNEGN934U4/,stuck them in my ears and they are comfortable and sound amazing,5,"As soon as I took them out of the box, stuck them in my ears and they are comfortable and sound amazing! Very surprised at the full isolated sound. Would definitely purchase another.",0,2017-05-03,Jennifer Cooper,AHJ4TATYP5OGXMMFDJ2XZSTKJYDQ,1,https://www.amazon.co.uk/gp/profile/amzn1.account.AHJ4TATYP5OGXMMFDJ2XZSTKJYDQ/ref=cm_cr_srp_d_pdp?ie=UTF8,0,,0,0.347143,,,,182,64,3,2017-05-03,67
29,29,https://www.amazon.co.uk/gp/review/R30EHCB79HSZFM/,"AMAZING, especially when you consider the price!!!",5,"What can I say about these ear buds?#1 They go into the ear canal, and I have no idea if they have noise reduction... but I can't hear anything or anyone else when I'm at the gym listening to music. This is GREAT.#2 Base is deep and quite excellent.#3 Clear sound I haven't had any crackling yet.#4 I'm 6'2 and my only issue with these is that the cord is SLIGHTLY, and when I say slightly I really mean slightly too short for me. Maybe an inch or so too short. I don't mean they don't reach my head, I just have a preference for some leeway when I put them in my ears. And this feels a lil snugger on the cord than I'm used too. (Not an issue with the product just a preference)#5 Did I mention the price???? �10??? REALLY??????? Jesus these are amazing when you factor this in. I'm considering getting 2 more pairs to keep around at home and in my car for whenever, just because they're so affordable and I get sad when I don't have them on me, but would love to listen to some music.Conclusion;There's a reason why these bad boys are at 4.5 star and reviewed by over 1+k people. They are that good for the price and you would be a fool not to get a pair of these just to have for whenever/whatever. Leave em in your car!!! I grantee you will thank me when you need a pair of ear-buds, but you left your favorite pair at home without thinking. Then, a few seconds into your despair ... ""Oh, that's right!!!! I have a backup pair in my car!!! Thanks random amazon dude!"" So, you're welcome ahead of time!",0,2017-04-26,Jennifer Cooper,AHJ4TATYP5OGXMMFDJ2XZSTKJYDQ,1,https://www.amazon.co.uk/gp/profile/amzn1.account.AHJ4TATYP5OGXMMFDJ2XZSTKJYDQ/ref=cm_cr_srp_d_pdp?ie=UTF8,32,In Ear Earphones Black,https://www.amazon.co.uk/XuDirect-In-Ear-Earphones-Black-Green/dp/B07166Q1VW/ref=cm_cr_srp_d_product_top?ie=UTF8,0.0886666999999999,115.0,5.0,0.0,1505,50,3,2017-04-26,67
30,30,https://www.amazon.co.uk/gp/review/R1VAHJUFY7LEI2/,Great sound. About as loud as I thought,5,"Great sound. About as loud as I thought. Have to turn it down at times. Good quality recordings sound great. Good separation of sound, the battery once charged lasts about 6 hours or more.",0,2017-05-04,Jon Graham,AHPBJJIJAYS65CAV372NAHS6IZXA,1,https://www.amazon.co.uk/gp/profile/amzn1.account.AHPBJJIJAYS65CAV372NAHS6IZXA/ref=cm_cr_srp_d_pdp?ie=UTF8,0,Home Theater Subwoofer Black&Silver,https://www.amazon.co.uk/Home-Theater-Subwoofer-Black-Silver/dp/B072L26B8N/ref=cm_cr_srp_d_product_top?ie=UTF8,0.4644439999999999,5.0,5.0,0.0,188,39,3,2017-05-04,9
31,31,https://www.amazon.co.uk/gp/review/R2EF5Z2EYCWJGK/,"Well packaged, decent as a gift",5,"I received these on time and in good package condition. The boxing is decent if you would like to buy it as a gift, it came with a well packaged headphone, a charging cable and a audio cable. Everything works well on these and in good sound quality, clear voice and nice bass, I like it.",0,2017-04-28,Jon Graham,AHPBJJIJAYS65CAV372NAHS6IZXA,1,https://www.amazon.co.uk/gp/profile/amzn1.account.AHPBJJIJAYS65CAV372NAHS6IZXA/ref=cm_cr_srp_d_pdp?ie=UTF8,0,On Ear Headphones Black,https://www.amazon.co.uk/OCOMI-On-Ear-Headphones-Black/dp/B071R5W83M/ref=cm_cr_srp_d_product_top?ie=UTF8,0.3595239999999999,15.0,5.0,0.0,287,31,3,2017-04-28,9
