,USER_ID,PRODUCT_ID,RATING,DATE,LABEL,REVIEW_TEXT,AVERAGE_RATING,RATING_DEVIATION,TOTAL_PRODUCT_REVIEWS,REVIEW_LENGTH,RATING_CATEGORY,SINGLE_RATING_CATEGORY,REVIEW_COUNT_DATE,SAME_DATE_MULTIPLE_REVIEWS,MAX_USER_REVIEWS_DAY,TIMESTAMP_DIFFERENCE,AVERAGE_USER_REVIEW_LENGTH,TOTAL_USER_REVIEWS,PERCENTAGE_POSITIVE_REVIEWS,RATIO_POSITIVE_NEGATIVE
47039,1830,110,4,2015-01-03,1,"Nothing not to like here. Was especially good for brunch, and especially if you need kid friendly. They have a whole section for stroller parking. Eggs were fluffy and were amazing with pastrami hash. The grapefruit juice was not so great and tasted like it was out of a bottle, which was the only flaw. Kale omelet was also memorable. Service and hostess were also warm and friendly, and was easy to get a table.",3.7366906474820145,0.2633093525179855,695,413,1,0,2,0,1,899 days,588.75,8,75.0,7.0813953488372094
6338,6848,20,5,2014-04-26,1,Great place with great food and service. Only here for brunch but will return for dinner.,4.322033898305085,0.6779661016949152,59,89,1,0,2,0,1,168 days,125.5,2,50.0,7.428571428571429
72327,50238,198,5,2013-06-16,1,"Over the past couple of weeks I've been to this great new Hell's Kitchen venue twice-great bar (and even better Bartender!), comfortable tables inside and out! As a group we tried the salads, burgers, omelettes and pancakes, each better than the next! A real find!",3.8375634517766497,1.1624365482233503,197,264,1,1,1,0,1,0 days,264.0,1,100.0,8.380952380952381
103825,65643,287,5,2014-11-18,1,Heidi's House was by far the best place we ate during our entire trip to NY. My husband ordered the paella and I the mac and cheese with the intention of splitting. Â Although I would have loved to keep them both for myself. Â  The location is mingled with brownstones in the upper east side and is of course small but quaint. Â Doors open at 5:00 and seating was full shortly thereafter with a waiting list already started. Â  I almost wish we'd found this place sooner so we could go more than once.,4.332225913621262,0.6677740863787376,301,501,1,1,1,0,1,0 days,501.0,1,100.0,24.083333333333332
274120,14486,716,5,2013-04-06,1,"I almost never write reviews on Yelp, but I really want to make sure this place makes it and continues to put out such great, modern Mexican food! Â My wife and I just got back from a long weekend in Mexico City, and this place brings us right back to the ""haute mexican"" food we had there. We were there today for brunch and had the scallop ceviche (fantastic - nice sea scallops, as opposed to the bay scallops you often see in scallop ceviches), the torta, which they make in a kind of ""French Dip"" style and which was FANTASTIC. Â The broth it was soaked in was reallllly good. Â And finally one of those handmade tortillas, fried, with slow roasted pork shoulder, a bit of guacamole, onion relish, cilantro, cabbage and radish. Â It was tied together with a tomato-habanero broth which was just spicy enough. We just had coffee today, but they apparently got their liquor license recently so in addition to the fresh juices they now apparently have margaritas. Â Oh and flambee mango with mezcal soaked cranberries and some sort of ice cream I believe was the dessert special - I wish we had room and that it wasn't 1pm. The few times we've been for dinner Chef Hugo hasn't disappointed either, but I'll leave that for a follow up review.",4.214285714285714,0.7857142857142856,84,1243,1,0,1,0,2,0 days,1046.5,2,50.0,9.5
36980,29287,91,4,2011-11-10,1,"Rule of thumb: Hole-in-a-wall = awesome food. This theory holds true over 90% of the time...unless you get food poisoning...then that's a different story. (Don't worry, that's not the case here.) My first time here was a year ago with some coworkers that wanted to try the place. My most recent visit was just a couple of days ago on a Scoutmob deal for free regular order of fries (free!). The place is a bit small, so you'll most likely have to take your order to go, but both times the fries came out fresh and delicious, with the right combination of oily goodness on the outside and potato-y softness on the inside. The price for a regular sized order is $4.50, but believe me, it's a heap of fries. Any bigger and you'll have to split it with someone. Your biggest dilemma in coming to this place is choosing the right sauce to go with your fries. There's always ketchup and mayo (which is free), but why get that when there are also 30 other choices written on their chalkboard by the register/frying/packing/saucing station? Each ""special"" sauce is $1 (if you get three, it's $2.50), but they give you enough to finish off your regular order of fries. After staring befuddled at the choices for a minute, I chose the curry ketchup and Vietnamese pineapple mayo. Both were delicious. I may not be back soon (gotta lose some weight), but one day I shall visit again!",4.157591287636131,0.15759128763613095,3122,1372,1,0,4,1,1,1059 days,1532.75,12,91.66666666666666,18.271604938271604
328383,108563,863,3,2013-02-20,1,"Only Australian food I've ever had prior to coming here was trying out the meat pies at the Tuck Shop on E. Houston and steak at Outback, which I know doesn't count. Wasn't too impressed with either. My friend suggested we try The Thirsty Koala in the ethnic food Mecca of Queens: Astoria. Looking at menu, I noticed they didn't serve koala. Good, leave the cute critters alone. Nothing really stood out as something exclusive to Australia, actually. We started off with the lamb lollies (best part of meal). Savory, juicy, and just the right amount of fat left on to optimize the flavor. The lollies came with caramelized pumpkin, leafy greens (can't recall what kind) and pomegranate seeds which all complimented each other quite nicely. This app could actually be enough for an entree order. For the main dish, I decided upon the steak tacos. You get 2. I could only finish 1. Tortilla stuffed with steak, caramelized onion, pico de gallo, shredded cabbage, cilantro, and chipotle sauce. Very Australian right? Half of the fillings will definitely fall off the taco before you take your first bite. It was ok, nothing special. Looking back, friendly service and our meal in addition to most items on the menu were more American than anything, but it didn't matter as long as the food didn't suck and no koalas were harmed.",4.26056338028169,1.26056338028169,426,1325,1,1,2,0,1,1169 days,919.0,4,100.0,13.2
252600,127615,659,3,2015-01-02,1,"I order the $28 beef BBQ during the lunch. The portion was extreme small. The tofu with beef stew, i only found a little bit of one piece of Â beef ,but they made their own tofu and can serve u big portion of the tofu. I won't go back",3.7584973166368516,0.7584973166368516,559,234,1,1,1,0,1,0 days,234.0,1,100.0,6.873239436619718
246329,42214,202,5,2010-08-15,1,"Great atmosphere, great service by a staff who KNOWS their food and drink and very, very yummy food! Â Went there on a date night. Â My husband had read something about it on ""Edible Brooklyn"" and was really excited about giving absinthe a go (we had never had the absinth experience). Â We arrived early in the evening - very lovely space with a warm old worldy sort of ambiance. Â We asked the bartender/mixologist what he would recommend as it was our first time. Â He was really helpful and knew his stuff. Â We had the Duplais Blanche and Veiux Pontarlier. Â So very tasty, but we couldn't resist the cocktails off of the menu. Â I ventured on to the Stormy Weather (can't say no to anything with jalapeno) and he had the Whisky Smash. Â As we were drinking we thought...this would be great with cheese! Â So we ordered a cheese plate and went with some suggestions from our very knowledgeable bartender (it is FANTASTIC when the folks at the restaurant know and love food and drink as much as you do). Â Cocktails and cheese! Â It was so good that I went there for brunch with some friends and once again the service was excellent, the cocktails were amazing and as a bonus, the brunch menu was damn tasty! Â Between the 4 of us there were a lot of ooo's, ahhs and oh my gods so yes, we did enjoy our Grilled Burger, Croque Madame and Spinach and Goat Cheese Croissant. Â What more do you need?",3.979502196193265,1.0204978038067352,683,1400,1,1,3,1,1,1317 days,941.0,6,100.0,8.106666666666667
187773,42334,509,5,2011-08-15,1,"I walked back into the apartment Saturday afternoon a bit vexed after watching my team draw a game it should have won. The love of my life said to me, ""I haven't left the house yet, we should go out."" As we hit the bricks, she continued, ""I'd like some good food made from fresh, local vegetables."" Now by this she could have meant ""let's go to the greenmarket and buy stuff for you to cook"" but I was still feeling a bit under the weather from the night before, so I thought frantically and recalled hearing about Rucola because of their proposed a la carte CSA thingy. I had signed up for the email list but only received 3 emails from then indicating that they had items (but they all sounded good: garlic scapes, heirloom beets, and baby lettuces. If only either of us liked beets). Anyway, we walked in to Rucola at 3:45 on a Saturday afternoon. The block was pristine, and the same atmosphere carried over into the restaurant. The place felt both sleek and comfy, attributes that don't often coexist. There was only one other occupied table inside, though four other parties arrived over the course of the meal and the tiny outdoor tables (which were taken when we arrived) turned over as well. But what I really wanted to relate to you was the smell. When we walked in, it smelled so intoxicatingly good that I knew right away we'd hit paydirt. We had eggplant caponata escarole salad a slice of the pizza of the day (capers, mozz, sauce, hot peppers) a slice of the seasonal frittata (cippolini, piave, zucchini) mimosa glass of rose espresso drip coffee The eggplant was great. If I'm not mistaken it had capers, pine nuts, mint, and a little sundried tomato. When my mom makes it she puts in celery and I don't think she uses mint. Usually my mom's methods form my preference, but I think Rucola's version was better. The foccacia that came with it was solid but not spectacular (could have been better if it was warm and a little crispy on the edges). The pizza was also great. The sauce was from cherry tomatoes I believe they said, and it was intensely sweet and flavorful. The cheese was applied sparingly but tasted excellent, and the peppers were even more sparing, which was good because a little went a long way. The escarole was extra fresh and the crutons it came with were nice. The rose, recommended by the server (a friendly blonde lady named Jess [ica?] I belive) was more than sufficient. I thought the frittata was slightly bland, but my wife loved it. The espresso was great, though tiny. This gets five stars because of (1) the high quality of the food and ingredients, (2) the extremely reasonable prices, (3) the seeming intent behind it (emblematized by the CSA idea and the local ingredients, and (4) the virally charming overall atmosphere, including the service and decor.",4.095785440613027,0.9042145593869728,261,2806,1,1,1,0,1,917 days,1556.0,3,100.0,10.347826086956522
226689,7720,596,4,2012-01-11,1,"I admit that i was very drunk by the time we got to this bar, but i remember most of it. Â The place is huge as is the beer list. Â Theres a ton of seating around the bar and a lot of tables. Â Service at the bar was great. Â Theres a big projection screen although it's kinda in a weird spot where you can't see it from the bar and have to turn around and look in the corner. Â I'm pretty sure there was birthday party there for a kid that couldn't have been older than 4, which i found to be a little weird. Â My girlfriend ended up leaving my credit card there and the bartender was really nice when we called to ask if they had it. Â The next day they remembered us and had the card waiting. Â i had a great time there and hope to check it out when it's a little more crowded at night.",3.689542483660131,0.31045751633986907,306,789,1,0,1,0,1,1176 days,690.675,40,90.0,5.244897959183674
53850,30230,477,2,2009-04-08,1,"Such a cute place, it's a shame that they don't care about the quality of their food. The shrimp dish that I had was floating in a pan of olive oil so thick that it made me a little sick to have mistaken it for sauce. I used a nice piece of bread to soak it up so I would have something in my stomach since the shrimp itself was of the frozen bag variety: tiny, farm raised and LAME. The stars are merely for the coffee and the bread, but frankly I was glad someone else was paying for this meal, because I just don't see why I would bother coming back for either.",3.9450980392156865,1.9450980392156865,510,564,0,0,1,0,1,2471 days,718.3333333333334,6,83.33333333333334,10.08695652173913
208754,111201,555,5,2014-11-29,1,I didn't know that it's food stand before I went there. Around 7 dollars for a delicious take-away meal. I see it as a deal.,4.299306393244874,0.7006936067551264,6632,124,1,1,4,1,1,0 days,124.0,1,100.0,12.67422680412371
246586,58006,906,4,2014-12-15,1,"The name is kind of hard to say, but all you need to know is that it's delicious! Came here upon a recommendation of a friend who LOVES their Hainanese chicken. Since my experience with that dish and Malaysian food in general was pretty limited, I wanted to try it! I read on Yelp how everyone loved their Roti Canai so I had to order that too. Two of those dishes just for me was a bit too much, but I did the best I could. First of all the roti--yum! Loved the curry dipping sauce and the puffy tortilla-like bread. Nice bit of heat in that curry. The Hainanese chicken was very flavorful and tender, and I opted to have the default dark meat version--not only was it a little cheaper, I think it's more flavorful than just the breast-meat version. All in all, very satisfying! The service was good, if not overly friendly, and I'm glad I missed the dinner rush; there was quite a sizable crowd by the time I left. STEPH JUDGEMENT: Great Chinese/Malaysian food in a pleasant atmosphere.",3.82014987510408,0.1798501248959199,1201,988,1,1,1,0,1,13 days,1209.25,4,100.0,7.962686567164179
167140,22394,465,5,2011-04-17,1,"Best pizza I've had in NYC. Â I haven't been to that many, but still one of the best pizzas I've had here. Â There is a trick to ordering pizzas here - don't go overboard with the toppings. Â NYC pizzas are thin crust and are known for that crispy crust - if you get too many toppings - the crust won't be crispy anymore. Â Limit the toppings to 2 or 3 and you'll be good. Â We got pepperoni and mushrooms and the last slice was still crispy 30 minutes after the pizza came to our table. Â  1. Â The sauce - excellent! Â It doesn't taste like tomato paste. Â It doesn't taste overly sweet. Â You can taste the herbs in the sauce. Â You can taste the garlic that went into the sauce. Â The sauce has a good amount of kick too. Â Great sauce! 2. Â The cheese - go and get extra cheese. Â Otherwise you won't get enough. 3. Â The toppings - pepperoni was great, mushrooms were awesome. Â You can tell the quality of a pizza place if they use canned mushrooms or fresh ones. Â They use fresh mushrooms here. Â Also, go get some extra garlic - adds so much flavor!",3.7463179278821737,1.2536820721178263,3938,1059,1,1,3,1,1,43 days,1589.6666666666667,3,100.0,5.105426356589147
140217,82519,410,4,2013-01-26,1,"The food in this place is amazing. Came here for brunch and it was oh so yummy. The yuca benedicto was do die for. So I sacrificed myself. I got it with a sangria which was part of the Â brunch deal. The only thug stopping this from being 5 stars (because the food is great and so is the music and atmosphere) is the wait time. Our waitress was...MIA most of the time. We waited maybe 20 minutes for the check. Bleh, I would definitely come back though. (This was my review for Summer 2012) (Now Winter 2013) I can't tell you how many times I've come here for happy hour. If you're wise, you'll do what I do. I bolt out of the office at 5, hail a cab, then head straight there because this place gets annoyingly packed. The have possibly the best coconut mojitos at the best mojito price you will EVER find in the city unless you make it yourself. $6 for ANYTHING in NYC, are you freakin kidding me?!? I wouldn't believe it if I didn't experience it so many times, so go experience it damnit! You won't be upset.",3.922487223168654,0.07751277683134594,1174,1012,1,1,3,1,1,0 days,1012.0,1,100.0,9.672727272727272
27833,22848,469,4,2014-03-23,1,"My boyfriend and I stumbled upon this gem by accident. I was parked right outside and my boyfriend randomly noticed it. Came here after dinner to satisfy my sweet tooth and boy did it deliver. I had a caramel latter with macaroons and it was tasty and appetizing. We didn't have any of the actual food items, but I could see from the dishes around me they looked very good! We will be returning for lunch!",3.9193548387096775,0.08064516129032251,62,405,1,0,1,0,1,781 days,853.3333333333334,6,66.66666666666666,6.75
321832,15310,845,3,2011-08-13,1,"Came here for brunch - The brunch menu is regular american fare with a smattering of mediterranean dishes. I think the prices are ok and the service is good but all in all the food was just a-ok. Nothing to write back home to mommy about. While I liked the ambience of the place, I dont think I will be coming back anytime soon.",4.0814332247557,1.0814332247557,307,328,1,0,1,0,1,1910 days,566.025641025641,39,94.87179487179486,12.954545454545455
122892,40689,358,4,2011-03-16,1,"GOOD food, semi-FAST service, FREE tea FOOD - I came here for a quick lunch during a break. The Katsu is really really good, very crispy yet warm and light! I got a chicken katsu which came above a bowl of rice with some eggs. My friend got the curry katsu, which was pretty good too. Honestly, this is the best katsu i've had in the city (but i've only ever been to 1-2 other katsu joints). I highly highly recommend it! The prices are also not exorbitant for the location; however, $12 for a bowl / dish that I could only finish half of is all right ATMOSPHERE - The place was definitely filled up but not overcrowded. We were seated within like 5 min during a busy lunch hour. Â  SERVICE - the food was delivered pretty quickly. Free tea was distributed initially and then appetizers / miso soup / sides came within seconds of placing our order. I was pleasantly surprised with the speediness of the service. They were a bit slow with the check process though, but besides that everything was fine. I recommend coming to katsu-hama!",3.7160940325497287,0.2839059674502713,553,1035,1,1,1,0,2,493 days,978.8333333333334,6,100.0,7.777777777777778
267242,32151,690,3,2014-11-03,1,Went past 9pm and it was really busy! Simple menus and the drinks were ok. Atmosphere was a bit rowdy.. fried avacados were on point.,3.837278106508876,0.8372781065088759,338,133,1,1,1,0,1,116 days,136.33333333333334,3,100.0,6.041666666666667
197777,3347,507,4,2013-04-09,1,"When I walked into B&B a few days ago, the SO and I wanted a simple, hearty burger-based meal, and that's what we got. I confess that when I saw the name of the joint in my Yelp app, I pictured something between Five Guys and Bareburger: the equidistant options abutting my abode. In fact, it was that handsome place I'd passed a few times strolling down Houston, wondering what the heck it was. The elegant ""New American"" dining room is definitely classy enough for a date or a SoHo starter meal for your visiting parents. It looks brand-spanking new and is very clean and well-kept, and there are enough staff members on hand to make sure it stays that way. At 6 pm on Saturday, there was a 30-45 minute wait, but we were offered bar seats right away--and took them. Tucked into a far (but not gloomy or removed) corner, it was the perfect perch from which to observe the comings and goings. The most memorable sight was a young mom dining with her toddler, whom she sat across from her rather than putting the kid in a baby seat. It was begging to be a video meme. The busy bartender was friendly enough. She served us some tasty Brooklyn Blast double IPAs. There are a few other beers on tap, all food friendly, though the prices are shamelessly inflated ($9 for the BB, and others $8 and up). You WILL be paying for rent here, so don't come to save a buck. Our burgers were very, very good: SO had the classic, cooked to medium rare perfection. As was my ""Bash Style"" burger, topped with onion and bacon jam, pickles, american cheese, and special sauce. It was definitely an Ivy League burger, both in cost and quality, though a little on the small side. The fries were decent, too, though not memorable. The whipped potatoes, swapped for fries by my dining partner, were delicious. B&B is, as I discovered, a ""wine pub"" (a budding trend in NY). I would return to try some of their pours and pair them with more ambitious dishes (which they have).",3.766798418972332,0.23320158102766797,506,1952,1,0,1,0,1,1991 days,991.6173913043478,115,99.1304347826087,5.837837837837838
204109,109088,542,5,2010-11-22,1,"Absolutely the best. I was fortunate enough to come here once before, so on a recent trip, my husband, the pizza lover, wanted to go as well. We swung by for a pie during lunch and since it was his first time there, we went with the large 18 inch standard margherita pizza. Thanks to the fast cooking coal oven, the pizza arrived just a few minutes later, just as I remembered it, with the individual slices of mozzarella splashed haphazardly in the sauce and with just the right amount of basil sprinkled across the top. Upon removing a slice, there was no slippage of toppings and upon examining the pizza's beautiful crust's underside, you could both see and smell the markings from the coal oven. When you visit, don't forget that Lombardi's doesn't accept credit cards, so make sure you have cash. I'm absolutely convinced that pizza doesn't get any better than Lombardi's and my husband is now a converted fan as well!",3.9446564885496183,1.0553435114503817,4716,924,1,1,2,0,1,0 days,924.0,1,100.0,8.565922920892495
123449,19988,671,5,2010-09-19,1,"The food is outstanding, but you certainly will pay for it. All the ingredients are super fresh and incredible quality -- some are even local also. It's a great special occasion kind of place ...the brunch is amazing.",3.8551401869158877,1.1448598130841123,428,217,1,1,1,0,2,757 days,202.33333333333334,9,100.0,5.584615384615384
223973,117484,589,5,2013-12-29,1,"I stumbled upon this place after a show in January '13, and fell in love with their empanadas. Â Recently, I found myself in the same neighborhood after another show and actively sought out this narrow little hole in the wall. Â Now, when my boyfriend and I arrived, the line to get in was out the door - it should be noted that tables are lined up against one side of the restaurant and people have to walk single file up and down the length on the other side of the restaurant....I wasn't exaggerating when I said it was a narrow hole in the wall. Â That being said, once we were seated, we ordered a frenzy of delicious food. Â Everything we ate was outstanding, but if I could only recommend one thing, it would be the fried yucca with guacamole.",4.004847645429363,0.9951523545706369,1444,750,1,1,5,1,1,0 days,750.0,1,100.0,12.884615384615385
163811,5130,462,3,2014-02-09,1,"Case Enrique is a nice little spot in LIC. Staff: very attentive and polite. Great service. They served this complimentary Cheetos like thing. Very oily for some reason. Guac - wasn't the best I had but it was decent. Lacked flavor like salt, tomato, and onions and not as chunky as the other guacs I'm accustomed to but definitely edible. Beef meatballs - had an egg inside which caught me by surprise. Sauce was a tad spicy but good. Lengua (beef tongue) tacos - I love beef tongue so we had to try it. Beef tongue usually has the chewy consistency I love but this was cooked tender. Chicken something something verde - chicken stuffed enchilada with queso fresco and avocado. At this point I was too stuffed but still good and tasty. Mexican chocolate was very good. Basically a chocolate mousse with biscuits. And.... Mexican coke to drink.",4.131944444444445,1.1319444444444446,288,844,1,0,1,0,1,329 days,822.5593220338983,59,98.30508474576271,14.157894736842104
208298,110892,555,5,2014-05-12,-1,Great halal food!,4.299306393244874,0.7006936067551264,6632,17,1,1,6,1,1,0 days,17.0,1,100.0,12.67422680412371
24925,20848,72,4,2014-09-10,1,One of the better ramen shop but very limited seating and not great for large groups. We had to sit with random people during our meal but the ramen was very tasteful and I would definitely recommend checking this place out if you're in town.,3.965988662887629,0.03401133711237092,2999,242,1,1,4,1,1,0 days,242.0,1,100.0,9.166101694915254
319497,149074,841,2,2013-02-07,1,"Although our food was tasty, I had the seasonal sides-sesame kale, mashed potatoes, I was overcharged from what the menu said, despite having asked two different waitresses! The atmosphere was fun, the music was atrocious.",3.8107462686567164,1.8107462686567164,1675,222,0,1,1,0,1,0 days,222.0,1,0.0,6.067510548523207
79033,4756,215,4,2010-08-31,1,"For my only venture into Queens, I went to Sweet Afton. Â And if offered an invitation to return, I would definitely take up that offer. Â  The vibe of this place is West Village bohemian chic with a preppy twist. Â I like very much! The food here, though limited, is tasty enough to bring one back. Â That burger is oh-so-good. Â Thick, juicy meat on a toasty, warm bun. Â Whew! Â I never thought of myself as pickle person, but I guess frying one made me a believer! Â  Definitely try the fried pickles... As for the drinks, I always veer towards margaritas. Â Sweet Afton's did not disappoint. Â Spicy, sour, and sweet flavors are all in that drink. Â The beers available are also well-chosen. Â Dark and heavy to light and refreshing. One will never leave this place either thirsty or hungry.",3.9907773386034258,0.009222661396574239,759,796,1,1,1,0,1,1204 days,722.9565217391304,23,100.0,11.047619047619047
292609,140466,765,5,2010-03-23,1,"I am never disappointed when I come to Applewood. Not once have I thought I really paid too much for something I could have easily made at home. I have been here several times and whenever I can convince my friends from the other boroughs to join me for dinner in Park Slope I often take them here I recently dined there for Eat in Brooklyn with the $25 dollar prix fix menu. I am often displeased with the menu options at many other places and find that they skimp on the good expensive ingredients. This was not the case at Applewood. I had a delicious red leaf salad with preserved meyer lemons and cheddar cheese from upstate NY. I have no idea where they procured this out of season lettuce because it was very tender for this time of the year. It tasted like the lettuce my mom grew in our garden. Â For my main course I had one of the best preparations of sea bass which was served on delicate celery root puree, topped with a aioli and Â pea shoots. For dessert I had a tart rhubarb crisp with amazing homemade cream cheese ice cream. This was all for $25. There mixed drinks and wine list is also wonderful and well chosen to pair with the food. I love this place because they take wonderful familiar comfort foods and bring them to a higher level of enjoyment with fine ingredients and a bit of imagination. The food is beautifully prepared, the waiters are very nice and knowledgeable. Â I can not wait for my next visit.",3.8903061224489797,1.1096938775510203,392,1432,1,1,1,0,1,46 days,955.0,2,100.0,5.030769230769231
207367,110361,550,3,2011-05-18,1,"I went here with my girlfriends for brunch. The food was pretty good but my stomach did not handle the Mexican-as-first-meal-of-the-day very well and I actually felt slightly sick afterwards. My friend and I shared chiquelta (sp?) huevos which were sunny side up eggs on top of a cheese, salsa nacho and meat covered concoction that was delicious as well as a pretty satisfying hamburger. We also got drinks which were pretty good as well. The staff was very friendly as well. Not sure if I would go back, or maybe not for brunch as I'm scared of feeling sickly again.",3.9420289855072466,0.9420289855072466,552,568,1,1,1,0,1,0 days,568.0,1,100.0,7.903225806451613
44234,11988,100,3,2009-05-18,1,"I waited (at the cafe across the street after putting my name down) for 1 hour and 40 minutes to eat here and I can say that it's not worth the hype. Really, it's not. You have to trust me on this! This place has too much hype that I think a lot of people are brainwashed into thinking it's phenomenal--especially if you're starving after a 2 hour wait (and really, who wouldn't be starving at that point!) My friend and I ordered the Blueberry Pancakes and French Toast. These two items were big on portion. The dressings (syrup, toppings, etc.) are their saving grace, but the actual dishes themselves weren't spectacular at all. The food wasn't bad, but it just wasn't great or memorable. I know I could find equally good/much better pancakes and french toast at various diners around the city. Next time I'll have to get a savory brunch item--ie: The Southern Breakfast, and reassess. But for now, this place is really no where near 5 stars! But I can understand the curiosity--still think everyone should experience ""it""--just don't be surprised when the food is mediocre. Their grapefruit juice is great however. It's fresh and very pulpy!",3.9518117295480013,0.9518117295480013,2677,1145,1,0,2,0,1,1727 days,1693.888888888889,27,81.48148148148148,8.734545454545454
