,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,RATING,VERIFIED_PURCHASE,REVIEW_TITLE,REVIEW_TEXT,NUM_NOUNS,NUM_VERBS,NUM_ADJECTIVES,NUM_ADVERBS,REVIEW_LENGTH,SENTIMENT_SCORE,TITLE_LENGTH,AVERAGE_RATING,RATING_DEVIATION,NUM_REVIEWS,READABILITY_FRE,SENTIMENT_CATEGORY_ENCODED,RATING_CATEGORY_ENCODED,COHERENT_ENCODED,AVG_WORD_LENGTH,LABEL_ENCODED,NUM_NAMED_ENTITIES,CAPITAL_CHAR_COUNT,PUNCTUATION_COUNT,PREPROCESSED_REVIEW_TEXT,WORD_COUNT,SENTIMENT_SCORE_TITLE,SENTIMENT_LABEL_TITLE,AVG_RATING_VERIFIED,AVG_RATING_NON_VERIFIED,DEVIATION_VERIFIED,DEVIATION_NON_VERIFIED
14,14,14,14,14,4,0,Color Is Accurate,buy 2 brown island hydraul mechan look fail use otherwis like -pron- color accur descript pad much definit chair loung in great barcount kitchen,11,10,6,8,330,0.4767,17,4.0,0.0,2,72.5,1,1,1,5.041666666666667,0,1,0,2,buy 2 brown island hydraul mechan look fail use otherwi like -pron- color accur descript pad definit chair loung great barcount kitchen,24,0.0,0,4.243802359377671,3.9822618791657707,0.24380235937767125,0.01773812083422932
15,15,15,15,15,4,0,Price is right!,wonder headphon 5 month work great great price sound clear loud soft ear love headphon mention soni,6,6,7,5,191,0.9432,15,4.0,0.0,1,88.06,1,1,1,4.882352941176471,0,1,0,0,wonder headphon 5 month work great great price sound clear loud soft ear love headphon mention soni,17,0.0,0,4.243802359377671,3.9822618791657707,0.24380235937767125,0.01773812083422932
16,16,16,16,16,4,1,"Good design, but a recommendation",video qualiti superb fit fine look like real mirror i believ enhanc thi gripe wish camera side side side leave camera place wast record room start turn driver side happi far,14,15,8,10,394,0.9081,33,3.0,1.0,2,56.93,1,1,1,4.612903225806452,0,1,0,0,video qualiti superb fit fine look like real mirror believ enhanc thi gripe wish camera leav camera place wast record room start turn driver happi far,31,0.2382,1,4.243802359377671,3.9822618791657707,0.24380235937767125,0.01773812083422932
17,17,17,17,17,4,0,good enough,sling shoot go good purpo though prefer handl slim good grip,5,6,4,2,132,0.5267,11,4.0,0.0,1,85.69,1,1,1,4.545454545454546,0,0,0,0,sling shoot good purpo prefer handl slim good grip,11,0.4404,1,4.243802359377671,3.9822618791657707,0.24380235937767125,0.01773812083422932
18,18,18,18,18,4,1,I just wish that there were guides and manuals for this,fair believ great slicer idea there unfortun trick spiral slicer mean manual helpfulbr br -pron- be say neg slicer work take week tri learn use slicer cut differ kind vegetablebr the price fair wish manual box show use slicer properli,18,26,6,13,549,0.91,55,4.0,0.0,1,47.8,1,1,1,4.875,0,3,0,2,fair believ great slicer idea unfortun trick spiral slicer mean manual helpfulbr br -pron- neg slicer work week tri learn use slicer cut differ kind vegetablebr price fair wish manual box use slicer properli,40,0.4019,1,4.243802359377671,3.9822618791657707,0.24380235937767125,0.01773812083422932
19,19,19,19,19,4,1,and he was satisfied with this,tablet especi help use secur dental adhesivebr i buy stuff father satisfi thi,5,4,3,1,147,0.4019,30,4.0,0.0,1,49.82,1,1,1,5.0,0,0,0,0,tablet especi help use secur dental adhesivebr buy stuff father satisfi thi,13,0.4215,1,4.243802359377671,3.9822618791657707,0.24380235937767125,0.01773812083422932
20,20,20,20,20,4,0,best of money value,look decent show photo thank amazon i save cost paint type costli digit print look decent,5,8,4,2,153,0.7506,19,4.0,0.0,1,80.62,1,1,1,4.625,0,1,0,0,look decent photo thank amazon save cost paint type costli digit print look decent,16,0.765,1,4.243802359377671,3.9822618791657707,0.24380235937767125,0.01773812083422932
21,21,21,21,21,4,1,It's harder to lose weight the older you get,find old get harder lose weightbut -pron- have get great result take garcinia month breakfast lunch supper do not supper do not tend eat late even find cut appetit -pron- have lose 8 lb month way -pron- have lose long time,14,20,9,4,376,-0.6249,44,4.0,0.0,2,63.7,0,1,0,4.439024390243903,0,2,0,6,find old hard lose weightbut -pron- great result garcinia month breakfast lunch supper supper tend eat late find cut appetit -pron- lose 8 lb month way -pron- lose long time,41,-0.4019,0,4.243802359377671,3.9822618791657707,0.24380235937767125,0.01773812083422932
22,22,22,22,22,3,0,So easy to use!!,camera 2 week now pictur great easi use love -pron-,3,6,3,3,101,0.8519,16,4.0,-1.0,3,95.17,1,1,1,4.2,0,1,0,2,camera 2 week pictur great easi use love -pron-,10,0.5827,1,4.243802359377671,3.9822618791657707,1.2438023593776713,0.9822618791657707
23,23,23,23,23,2,1,Stay Away And Don't Buy It,highli recommend buy product take suggest dosag week feel noth extra energi loss appetit pound lose,8,6,2,2,161,-0.3612,26,2.0,0.0,1,55.24,0,0,1,5.25,0,1,0,0,highli recommend buy product suggest dosag week feel noth extra energi loss appetit pound lose,16,0.0,0,4.243802359377671,3.9822618791657707,2.2438023593776713,1.9822618791657707
24,24,24,24,24,3,0,good supply,actual power suppli good cabl harnesss complet take apart reorient avoid bird nest backward wire tower -pron- like do not test work,9,12,3,3,207,0.4939,11,3.0,0.0,1,57.61,1,1,1,5.0,0,0,0,2,actual power suppli good cabl harnesss complet apart reorient avoid bird nest backward wire tower -pron- like test work,22,0.4404,1,4.243802359377671,3.9822618791657707,1.2438023593776713,0.9822618791657707
25,25,25,25,25,4,0,"Did you know? Oregano delivers more antioxidants than blueberries, oranges or apples",person physician recommend buy googlwa7ai with 10 free sampl great stuffbr br i tell enorm benifit oregano power heal herb natur antibiot studi find recent studi significantli better 18 current antibiot treatment mrsa staph infect strong phenol antioxid destroy pathogen bacteria virus yeast super herb rich antioxid phytochem flavonoid phenol acid high herb oxygen radic absorb capac orac impress score 200129 usda rank oregano antioxid capac 3 20 time high herbbr br -pron- 2 bottl oreganol p73 fridg wowww oregano oil good work miracul discomfort dryness throat take coupl drop oil tablespoon water drink -pron- oil heal sooth throat instantli feel great now time feel bodi ach take oil way set free feel great second oil fantast oregano emerg medicin complet elimin digest distress eat find contamin food,58,39,33,22,1414,0.9836,84,4.0,0.0,1,-49.99,1,1,1,5.3203125,0,7,0,4,person physician recommend buy googlwa7ai 10 free sampl great stuffbr br tell enorm benifit oregano power heal herb natur antibiot studi find recent studi significantli well 18 current antibiot treatment mrsa staph infect strong phenol antioxid destroy pathogen bacteria viru yeast super herb rich antioxid phytochem flavonoid phenol acid high herb oxygen radic absorb capac orac impress score 200129 usda rank oregano antioxid capac 3 20 time high herbbr br -pron- 2 bottl oreganol p73 fridg wowww oregano oil good work miracul discomfort dryness throat coupl drop oil tablespoon water drink -pron- oil heal sooth throat instantli feel great time feel bodi ach oil way set free feel great second oil fantast oregano emerg medicin complet elimin digest distress eat find contamin food,128,0.0,0,4.243802359377671,3.9822618791657707,0.24380235937767125,0.01773812083422932
26,26,26,26,26,4,0,Products are great,love fact easili read measurementsgreat who eye be not use lol tire tri read number -pron- color cup -pron-,9,11,4,4,230,0.4885,18,4.0,0.0,1,77.57,1,1,1,4.684210526315789,0,0,0,4,love fact easili read measurementsgreat eye use lol tire tri read number -pron- color cup -pron-,19,0.6249,1,4.243802359377671,3.9822618791657707,0.24380235937767125,0.01773812083422932
27,27,27,27,27,4,1,One of the better ones,buy product seller plea -pron- green coffe exactli say doe happi purchas finish bottl,5,13,3,1,223,0.0,22,4.5,-0.5,2,65.73,0,1,0,5.142857142857143,0,1,0,2,buy product seller plea -pron- green coff exactli doe happi purcha finish bottl,14,0.4404,1,4.243802359377671,3.9822618791657707,0.24380235937767125,0.01773812083422932
28,28,28,28,28,4,0,Better than expected,extrem electr blanket tri 2 take back feel wire materi luxuri feel priceyabout 50 one take back howev say qualiti indic year,7,16,4,8,303,0.0,20,4.0,0.0,1,57.61,0,1,0,4.681818181818182,0,5,0,0,extrem electr blanket tri 2 feel wire materi luxuri feel priceyabout 50 howev qualiti indic year,22,0.4404,1,4.243802359377671,3.9822618791657707,0.24380235937767125,0.01773812083422932
29,29,29,29,29,4,1,great product for coffee lover that want little more rich ...,great product coffe lover want littl rich flavor coffe love easi clean,6,3,6,2,109,0.9623,61,4.0,0.0,1,84.68,1,1,1,4.916666666666667,0,0,0,0,great product coff lover want littl rich flavor coff love easi clean,12,0.9155,1,4.243802359377671,3.9822618791657707,0.24380235937767125,0.01773812083422932
30,30,30,30,30,3,1,I figured it would for sure fit a dasani bottle ...,figur sure fit dasani bottl do not abl use cheap water bottl though,4,7,3,2,124,0.5859,51,3.0,0.0,1,83.66,1,1,1,4.230769230769231,0,2,0,0,figur sure fit dasani bottl abl use cheap water bottl,13,0.5859,1,4.243802359377671,3.9822618791657707,1.2438023593776713,0.9822618791657707
31,31,31,31,31,4,0,much nicer,dinnerwar set provid nice aesthet allow set tabl decor beauti white dinnerwar set goe color scheme acquir particular dinnerwar set own plain white set dinnerwar set platinum rim nicer,15,9,8,5,334,0.765,10,4.0,0.0,2,42.04,1,1,1,5.344827586206897,0,1,0,0,dinnerwar set provid nice aesthet allow set tabl decor beauti white dinnerwar set goe color scheme acquir particular dinnerwar set plain white set dinnerwar set platinum rim nicer,29,0.4404,1,4.243802359377671,3.9822618791657707,0.24380235937767125,0.01773812083422932
32,32,32,32,32,1,0,Changed color,side case do not match phone real issu tan color blackish part look unplea can not use like that,6,7,5,5,164,-0.2755,13,1.0,0.0,2,77.57,0,0,1,4.105263157894737,0,1,0,0,case match phone real issu tan color blackish look unplea use like,19,0.0,0,4.243802359377671,3.9822618791657707,3.2438023593776713,2.9822618791657707
33,33,33,33,33,4,1,It did take a lot of hair off my face which I love because I hate peach fuzz,low pain toler facial hair remov do not hurt much lot hair face love hate peach fuzz especi wear foundat tweezer okay love color littl hard use wish packag bubbl wrap cute get smash process ship great custom servic,17,18,9,7,408,0.9243,76,4.0,0.0,1,57.27,1,1,1,4.512820512820513,0,1,0,0,low pain toler facial hair remov hurt lot hair face love hate peach fuzz especi wear foundat tweezer okay love color littl hard use wish packag bubbl wrap cute smash process ship great custom servic,39,0.128,0,4.243802359377671,3.9822618791657707,0.24380235937767125,0.01773812083422932
34,34,34,34,34,3,0,hard to accommodate,bag look like littl small version pictur pictur show lot describ hold find hard accommod d3100 lens batteri charger,10,6,5,1,216,0.2732,19,4.0,-1.0,2,60.65,1,1,1,5.105263157894737,0,0,0,0,bag look like littl small version pictur pictur lot describ hold find hard accommod d3100 len batteri charger,19,-0.1027,0,4.243802359377671,3.9822618791657707,1.2438023593776713,0.9822618791657707
35,35,35,35,35,4,1,The handle is longer than I liked but it works well,buy use gel eyelin handl longer like work well like slant easi appli clean,3,9,4,2,153,0.8316,51,4.0,0.0,1,91.11,1,1,1,4.357142857142857,0,1,0,0,buy use gel eyelin handl long like work like slant easi appli clean,14,0.5499,1,4.243802359377671,3.9822618791657707,0.24380235937767125,0.01773812083422932
36,36,36,36,36,4,1,This mask is great for the purpose of keeping out the light for ...,mask great purpo keep light sure hub get 4 a.m. work butthead turn light get thi -pron- have have not issu sleep -pron- lol look like mini bra like tradit flat sleep mask lie flat eye littl 34cups34 do not touch eyelid nice old sleep mask itchi reason do not 5 star turn sleep side kinda uncomfort sleep on sleep stay on hate sleep,21,32,23,10,706,0.8002,67,4.0,0.0,1,72.84,1,1,1,4.1875,0,4,0,6,mask great purpo light sure hub 4 a.m. work butthead turn light thi -pron- issu sleep -pron- lol look like mini bra like tradit flat sleep mask lie flat eye littl 34cups34 touch eyelid nice old sleep mask itchi reason 5 star turn sleep kinda uncomfort sleep sleep stay hate sleep,64,0.6249,1,4.243802359377671,3.9822618791657707,0.24380235937767125,0.01773812083422932
37,37,37,37,37,4,1,Like it so much,photoshoot month -pron- cool nice build qualiti vintag look awesom,5,4,5,2,124,0.6249,15,4.5,-0.5,2,61.33,1,1,1,5.7,0,2,0,2,photoshoot month -pron- cool nice build qualiti vintag look awesom,10,0.3612,1,4.243802359377671,3.9822618791657707,0.24380235937767125,0.01773812083422932
38,38,38,38,38,4,0,The best natural product to lower cholesterol,person physician recommend buy googl5zi8i 600 mg tablet 5 cent addit 10 free sampl great stuffbr br recent biochem pharmacolog studi identifi red yeast rice benefici supplement maintain healthi balanc cholesterol relat lipid bodi studi report low ldl triglycerid increas hdl clinic studi patient suffer heart attack find partial purifi extract red yeast rice reduc risk repeat heart attack 45 revascular bypass surgeryangioplasti cardiovascular mortal total mortal onethird cancer mortal twothirdsbr br a recent studi find nattokina combin red yeast rice significantli low cholesterol use good nattokina googl32eeb fabul job reduc ldl overal cholesterol 220 150 amaz,47,21,22,3,1013,-0.765,45,4.0,0.0,1,-35.45,0,1,0,5.876288659793815,0,10,0,0,person physician recommend buy googl5zi8i 600 mg tablet 5 cent addit 10 free sampl great stuffbr br recent biochem pharmacolog studi identifi red yeast rice benefici supplement maintain healthi balanc cholesterol relat lipid bodi studi report low ldl triglycerid increa hdl clinic studi patient suffer heart attack find partial purifi extract red yeast rice reduc risk repeat heart attack 45 revascular bypass surgeryangioplasti cardiovascular mortal total mortal onethird cancer mortal twothirdsbr br recent studi find nattokina combin red yeast rice significantli low cholesterol use good nattokina googl32eeb fabul job reduc ldl over cholesterol 220 150 amaz,97,0.6705,1,4.243802359377671,3.9822618791657707,0.24380235937767125,0.01773812083422932
39,39,39,39,39,1,0,Waist Of money reviews are fake,go review fake buyer ware take get blood stool stop take right away look review posit thing say review take write 1 star review noon want blood stool,13,15,8,3,302,-0.6124,31,1.0,0.0,1,76.9,0,0,1,4.357142857142857,0,2,0,0,review fake buyer ware blood stool stop right away look review posit thing review write 1 star review noon want blood stool,28,-0.4767,0,4.243802359377671,3.9822618791657707,3.2438023593776713,2.9822618791657707
40,40,40,40,40,4,0,"My husband commented on how good my hair looks since I started this, thick, clear and even toned",person physician recommend buy googl5hndv with 10 free sampl great stuffbr br -pron- person physician tell biotin role multifacet vitamin number differ purposesbr 1 hair skin nail biotin say help grow healthi hair good skin help treat brittl toe fingernail biotin treat hair loss alopecia peopl prematur gray hair low level biotin help combat gray hairbr 2 treatment candida peopl use biotin treat candida say abl prevent yeast chang fungal formbr 3 fat burner biotin promot fat burner principl role biotin help metabol fat protein carbsbr 4 reduc blood sugar case doctor recommend biotin help peopl type 2 diabet reduc blood sugarbr 5 gene replic deep level biotin integr gene replicationbr 6 blood cell bone marrow biotin help product healthi blood cell bone marrowbr br -pron- hair thin work stress job get point could not success ponytail decid tri biotin 3 month happi report strong thick hair have not see growth length thick pretty manag -pron- hairdress surpris go trim 2 month haircut grow level normal take 3 month reach,71,65,37,15,1764,0.9861,96,4.0,0.0,1,-92.62,1,1,1,5.064705882352941,0,14,0,6,person physician recommend buy googl5hndv 10 free sampl great stuffbr br -pron- person physician tell biotin role multifacet vitamin number differ purposesbr 1 hair skin nail biotin help grow healthi hair good skin help treat brittl toe fingernail biotin treat hair loss alopecia peopl prematur gray hair low level biotin help combat gray hairbr 2 treatment candida peopl use biotin treat candida abl prevent yeast chang fungal formbr 3 fat burner biotin promot fat burner principl role biotin help metabol fat protein carbsbr 4 reduc blood sugar case doctor recommend biotin help peopl type 2 diabet reduc blood sugarbr 5 gene replic deep level biotin integr gene replicationbr 6 blood cell bone marrow biotin help product healthi blood cell bone marrowbr br -pron- hair thin work stress job point success ponytail decid tri biotin 3 month happi report strong thick hair growth length thick pretti manag -pron- hairdress surpri trim 2 month haircut grow level normal 3 month reach,170,0.6705,1,4.243802359377671,3.9822618791657707,0.24380235937767125,0.01773812083422932
41,41,41,41,41,4,1,No problem of calcium or potassium,read review calcium hamper burn fat take octob lose lb do not care contain long keep fit go,7,12,2,5,198,-0.4268,34,4.0,0.0,1,78.59,0,1,0,4.111111111111111,0,0,0,0,read review calcium hamper burn fat octob lose lb care contain long fit,18,-0.5994,0,4.243802359377671,3.9822618791657707,0.24380235937767125,0.01773812083422932
42,42,42,42,42,4,1,perfect lenght...comfortable,work expect cheap -pron- lightweight durabl length perfect wife 3 spare stylu pen do not know use for,5,8,6,5,193,0.5719,28,3.25,0.75,4,87.05,1,1,1,4.666666666666667,0,1,0,2,work expect cheap -pron- lightweight durabl length perfect wife 3 spare stylu pen know use,18,0.5719,1,4.243802359377671,3.9822618791657707,0.24380235937767125,0.01773812083422932
43,43,43,43,43,4,0,The Gift of Life from Trees! Fountain of youth,person physician recommend buy googlxv1lp with 10 free sampl great stuffbr br -pron- tell extract pine bark benefici effect treat 50 disea associ effect free radic provid prevent thembr 1 asthmabr 2 chronic venou insuffici a condit involv leg swell 3 varicos vein pain itch skin changesbr 4 high blood pressur hypertensionbr 5 retinopathi an eye condit commonli caus diabetesbr 6 attent deficit hyperact disord adhdbr 7 blood clot leg deep vein thrombosisbr 8 diabetesbr 9 impot also know erectil dysfunct edbr 10 high cholesterolbr 11 male infertilitybr 12 heart attack strokesbr 13 leg crampsbr 14 pregnanc pain such pain pelvic pain leg crampsbr 15 pain menstrual period dysmenorrheabr 16 pycnogenol say improv athlet performancebr br so tell can not heal ask tri use type 2 diabet herbal treatment regimen add prevent circulatori longev potenti life veggi cap time take pycogenol month far main thing notic allergiescough pretti go away complet begin januari year get sick pretti bad cold cough night morn doctor tell like allergi asthma befor pycogenol thing ad regimen vitaminssuppl past month cough goneyay hope help diabet reason start take hope report see benefit soon too plan starttak twice day instead -pron- be hope help,93,58,46,27,2068,0.6808,46,4.0,0.0,1,-129.5,1,1,1,5.232323232323233,0,24,0,4,person physician recommend buy googlxv1lp 10 free sampl great stuffbr br -pron- tell extract pine bark benefici effect treat 50 disea associ effect free radic provid prevent thembr 1 asthmabr 2 chronic venou insuffici condit involv leg swell 3 varico vein pain itch skin changesbr 4 high blood pressur hypertensionbr 5 retinopathi eye condit commonli cau diabetesbr 6 attent deficit hyperact disord adhdbr 7 blood clot leg deep vein thrombosisbr 8 diabetesbr 9 impot know erectil dysfunct edbr 10 high cholesterolbr 11 male infertilitybr 12 heart attack strokesbr 13 leg crampsbr 14 pregnanc pain pain pelvic pain leg crampsbr 15 pain menstrual period dysmenorrheabr 16 pycnogenol improv athlet performancebr br tell heal ask tri use type 2 diabet herbal treatment regiman add prevent circulatori longev potenti life veggi cap time pycogenol month far main thing notic allergiescough pretti away complet begin januari year sick pretti bad cold cough night morn doctor tell like allergi asthma befor pycogenol thing ad regimen vitaminssuppl past month cough goneyay hope help diabet reason start hope report benefit soon plan starttak twice day instead -pron- hope help,198,0.4926,1,4.243802359377671,3.9822618791657707,0.24380235937767125,0.01773812083422932
44,44,44,44,44,4,1,Recommendable,true recommend product work great skin pill daili tall glass water good way restor refresh skin within skin look soft like glow thi,9,9,8,3,238,0.93,13,4.0,0.0,2,73.51,1,1,1,4.739130434782608,0,0,0,0,true recommend product work great skin pill daili tall glass water good way restor refresh skin skin look soft like glow thi,23,0.0,0,4.243802359377671,3.9822618791657707,0.24380235937767125,0.01773812083422932
45,45,45,45,45,4,0,Looks nice!,shower curtain littl thin like work fine for price liner -pron- also dark color dark i ad towel s rug differ shade bring colorslook nice,9,9,6,5,254,0.7269,11,4.0,0.0,1,63.02,1,1,1,4.48,0,0,0,2,shower curtain littl thin like work fine price liner -pron- dark color dark ad towel s rug differ shade bring colorslook nice,25,0.4753,1,4.243802359377671,3.9822618791657707,0.24380235937767125,0.01773812083422932
46,46,46,46,46,4,0,perfect for my dorm room,-pron- would like decent speaker set use dorm room get budget -pron- surprisingli good sound clear set max volum bass decent perfect roommat slumber parti look pretti convent too look stylish,12,16,10,7,338,0.8934,24,2.5,1.5,2,56.93,1,1,1,5.193548387096774,0,1,0,4,-pron- like decent speaker set use dorm room budget -pron- surprisingli good sound clear set max volum bass decent perfect roommat slumber parti look pretti convent look stylish,31,0.5719,1,4.243802359377671,3.9822618791657707,0.24380235937767125,0.01773812083422932
47,47,47,47,47,4,0,it’s fine,do not care way scent appear it’ clean need,3,5,1,3,104,0.0186,9,4.0,0.0,1,104.64,0,1,0,3.888888888888889,0,0,0,0,care way scent appear it ' clean need,9,0.2023,1,4.243802359377671,3.9822618791657707,0.24380235937767125,0.01773812083422932
48,48,48,48,48,4,0,Great for soups,search larg dutch oven -pron- great brown carmal meat larg high grea splatter stove love -pron- abil transfer oven roast brais great soup easi cleanup,9,10,9,5,262,0.9246,15,4.0,0.0,1,88.4,1,1,1,5.04,0,1,0,4,search larg dutch oven -pron- great brown carmal meat larg high grea splatter stove love -pron- abil transfer oven roast brai great soup easi cleanup,25,0.6249,1,4.243802359377671,3.9822618791657707,0.24380235937767125,0.01773812083422932
49,49,49,49,49,1,0,stripped more hair from me,high hope thicken shampoo instead leave hair feel like acceler hair loss further continu return remaind refund,8,9,3,5,212,0.4404,26,1.0,0.0,1,54.22,1,0,0,5.529411764705882,0,0,0,0,high hope thicken shampoo instead leav hair feel like accel hair loss continu return remaind refund,17,0.0,0,4.243802359377671,3.9822618791657707,3.2438023593776713,2.9822618791657707
